60 1200
43 23 5
31 43 3
25 28 2
7 9 12
25 44 3
57 10 2
23 12 10
12 38 12
7 14 13
46 31 8
48 45 8
48 50 12
42 38 12
49 29 3
7 16 15
31 14 4
1 6 1
1 11 12
38 43 10
9 19 3
48 4 15
50 29 6
18 42 15
16 34 10
51 55 0
27 56 3
24 28 10
54 24 14
29 2 1
42 55 9
56 45 5
31 27 4
19 45 12
43 31 15
30 35 5
32 3 12
16 31 12
39 43 11
49 18 10
3 1 1
23 22 0
48 57 10
24 6 13
26 22 1
42 15 7
15 41 9
37 5 2
55 19 3
21 10 0
2 29 13
36 32 13
17 1 15
37 1 10
24 36 12
20 36 3
51 31 3
44 43 6
32 51 10
10 39 9
23 27 6
31 40 2
18 16 1
25 51 7
54 37 3
17 4 15
27 13 11
41 52 9
19 27 10
12 26 12
16 39 14
42 48 5
56 1 5
13 42 14
17 59 13
59 36 1
33 12 11
29 9 7
9 47 9
26 20 2
40 13 13
17 52 9
41 10 8
43 38 7
25 15 3
9 12 0
15 51 9
35 27 13
41 57 1
12 10 8
16 50 8
42 35 5
41 54 1
50 1 1
55 57 2
20 38 9
55 4 13
57 23 2
25 53 4
15 7 3
33 42 8
31 56 2
15 38 3
49 51 10
37 47 12
47 15 13
13 9 3
17 28 13
16 55 1
7 20 13
30 43 7
17 56 4
23 30 11
52 19 0
38 2 1
44 58 7
16 35 12
19 40 11
57 51 3
34 55 7
54 28 12
0 58 12
59 58 8
19 5 7
19 13 5
56 51 13
50 2 8
55 5 15
53 21 13
56 58 3
52 10 8
32 4 11
26 38 10
29 44 0
48 3 5
40 28 4
0 25 6
40 19 10
36 5 3
33 45 4
43 26 10
28 30 4
16 11 10
12 5 13
24 53 7
59 35 7
58 5 14
12 16 5
3 25 13
38 16 4
5 23 5
36 7 0
45 33 13
49 58 14
52 43 15
45 13 6
55 52 8
18 47 15
24 8 13
54 13 6
52 18 6
26 50 4
1 18 8
28 58 7
23 37 14
55 20 12
43 13 12
45 27 8
4 6 1
3 21 7
22 38 1
0 16 12
19 25 11
8 57 1
37 11 8
10 32 15
59 21 14
8 5 10
27 9 8
2 8 15
17 47 11
59 27 9
57 56 8
48 59 8
33 20 13
20 47 15
35 54 14
3 12 4
3 14 5
45 29 13
59 31 1
45 35 15
7 54 4
7 22 2
13 55 9
10 47 8
36 57 6
37 0 5
26 58 2
15 49 15
43 6 10
7 25 11
37 59 3
53 20 4
1 5 14
42 30 14
40 17 0
21 2 14
20 46 4
3 51 9
20 51 1
47 4 12
55 25 2
1 54 6
10 24 12
48 41 4
7 19 15
51 27 9
38 8 11
42 6 11
31 28 12
30 17 13
5 48 13
51 23 5
27 40 13
5 2 10
29 43 7
41 43 4
33 40 2
18 29 13
5 58 15
19 9 4
43 57 9
53 15 13
18 36 1
35 4 1
29 42 8
22 16 2
49 32 0
42 29 5
53 25 1
37 46 14
48 42 14
16 21 5
13 11 2
47 38 8
55 43 3
27 34 0
7 0 5
25 55 15
19 39 11
0 12 3
52 1 6
54 1 6
30 41 4
41 15 13
53 40 6
5 19 14
9 30 13
44 28 15
30 1 14
37 15 6
21 0 3
40 54 13
26 54 15
38 46 9
2 31 12
52 55 15
14 45 1
33 1 13
36 20 2
17 57 13
56 30 3
31 39 11
28 44 13
1 10 9
46 12 15
22 28 7
37 58 10
58 38 14
8 56 9
46 45 12
26 53 11
51 54 5
39 13 9
44 47 2
8 11 6
10 38 15
6 50 13
31 19 7
13 35 1
1 22 8
57 32 1
51 4 10
27 7 7
7 35 7
31 16 10
50 22 1
49 56 8
57 9 3
59 28 14
53 48 3
50 54 3
52 35 1
10 40 3
10 46 9
48 32 15
41 23 10
52 8 3
54 12 14
26 49 0
15 53 15
21 18 5
5 17 11
26 23 7
48 33 13
50 14 4
26 57 14
54 33 11
1 28 4
33 4 2
21 20 12
27 3 12
41 9 1
40 45 9
26 25 9
20 58 11
0 52 8
39 58 4
44 25 14
41 13 14
44 22 12
56 19 2
2 34 10
24 46 4
18 13 2
32 35 9
48 40 5
56 50 8
46 27 3
46 3 11
16 40 11
7 3 3
28 19 0
29 21 7
37 36 7
50 52 4
45 24 7
6 20 6
52 49 11
29 6 4
3 27 4
30 13 14
43 33 12
37 35 12
37 31 13
46 26 5
9 32 4
31 45 14
8 45 3
44 13 14
30 2 5
35 23 3
38 54 13
23 36 9
2 33 4
7 23 9
23 19 9
31 1 4
9 50 13
3 59 9
56 18 6
11 52 15
35 22 2
55 2 13
28 57 10
50 24 15
53 46 4
32 40 14
48 28 14
5 51 13
24 14 12
21 34 1
42 56 14
47 17 2
55 10 0
50 49 9
35 41 3
41 35 2
12 39 1
36 33 6
48 30 0
11 1 8
50 13 7
53 56 14
20 25 1
31 55 0
21 27 5
26 1 10
24 16 2
7 6 5
18 9 5
19 26 5
3 39 10
19 24 3
20 9 13
16 24 3
15 48 7
24 7 8
3 20 14
35 26 2
26 40 7
58 56 0
17 35 3
50 8 9
36 26 14
5 54 6
50 9 11
