60 1200
5 45 12
16 46 -1
26 57 14
18 20 -4
40 52 -5
14 46 3
11 16 -5
55 49 13
6 46 7
41 16 15
40 38 12
13 52 9
14 20 3
40 51 7
46 27 6
9 57 10
5 31 0
29 11 0
12 36 10
41 18 -5
56 11 7
9 4 8
15 29 15
46 33 -1
46 48 -5
38 6 7
7 52 -5
48 53 15
59 2 -1
15 49 -3
17 9 15
38 0 -5
50 6 12
21 54 -3
12 8 10
48 36 9
52 10 4
21 30 -1
15 3 12
44 17 15
1 52 -4
6 34 4
6 32 8
9 0 2
1 14 8
24 9 6
14 58 7
45 52 -2
31 10 -2
14 6 4
22 4 14
21 7 6
58 5 -4
38 9 0
27 33 5
38 11 8
19 39 4
6 17 10
42 23 3
51 58 -3
55 59 -1
49 41 -1
20 9 7
28 46 10
52 4 -2
36 27 3
9 5 5
8 11 7
31 27 10
44 26 14
50 40 5
8 51 15
31 34 12
52 14 7
5 37 8
33 36 2
44 5 2
23 0 1
54 1 6
35 30 -1
3 58 6
23 54 -1
18 29 -1
58 26 2
14 3 -1
7 44 -1
24 46 -5
23 3 -2
53 38 0
1 9 6
0 36 8
9 48 0
8 47 11
30 26 5
28 50 15
44 0 4
3 56 15
48 11 11
10 0 7
29 35 3
58 36 11
19 45 2
27 59 0
17 5 11
24 8 1
3 14 7
11 52 12
38 53 -3
52 44 9
30 20 15
41 25 7
10 3 6
41 27 1
17 6 -2
38 49 5
1 15 4
10 34 -2
4 13 14
0 48 4
12 35 1
40 59 -4
15 17 -3
2 36 10
20 5 4
48 18 7
32 12 5
46 22 -1
47 32 -2
32 51 -1
50 24 10
37 55 -4
18 10 -1
5 56 15
43 41 -1
49 45 0
46 38 15
49 21 9
23 39 8
2 57 7
15 13 14
38 4 -1
36 40 10
49 55 4
51 50 -3
29 20 0
59 18 0
4 17 13
23 22 -3
4 11 9
16 30 3
28 41 -1
7 36 10
2 23 4
54 39 -1
28 23 11
20 23 -3
43 26 11
28 16 -4
39 41 -4
47 50 2
44 52 12
54 6 4
36 25 -3
14 24 9
22 29 9
41 34 9
6 5 0
46 6 7
49 27 1
4 20 5
13 44 10
29 2 12
9 30 -1
40 13 5
36 2 14
49 24 -4
59 51 6
50 27 10
13 3 1
55 1 8
17 16 15
11 5 -1
25 5 4
55 45 9
55 26 11
13 42 3
11 53 -4
5 57 8
21 48 4
10 12 6
26 30 10
34 44 0
22 58 13
24 52 -5
35 50 14
46 42 13
52 46 5
57 29 -1
31 55 5
7 50 8
16 33 -5
28 53 -1
40 37 -2
47 12 8
49 10 14
22 13 1
43 36 -5
23 52 6
1 19 4
55 7 10
41 29 8
26 22 6
53 34 8
59 11 9
27 23 0
35 38 0
34 27 7
18 54 8
40 18 14
59 57 -2
5 51 -2
5 41 -5
39 59 8
6 31 14
59 34 -2
42 18 8
49 29 12
30 7 6
50 58 9
26 58 15
45 50 7
0 23 2
32 18 3
56 42 3
19 53 8
0 57 8
50 23 11
52 47 14
27 15 12
25 12 14
53 3 13
27 8 15
57 20 11
10 27 2
6 45 -1
40 36 7
53 48 15
53 35 0
1 27 -5
40 49 13
9 1 14
45 34 -3
36 24 -5
47 46 -1
29 40 15
49 22 0
19 12 12
53 15 7
49 16 -4
40 1 15
29 59 14
7 6 -1
18 16 0
31 54 6
24 56 5
28 51 0
11 19 -5
57 11 13
54 2 -2
30 39 14
34 0 0
33 47 3
59 7 1
38 1 12
1 33 11
13 55 6
7 57 1
1 20 -1
14 5 -1
30 12 -3
22 45 12
29 47 10
12 16 0
12 43 3
37 50 13
50 13 10
27 56 9
39 6 14
57 40 -3
28 10 -4
32 16 13
26 18 14
52 56 15
33 22 7
1 7 0
51 20 8
50 11 6
9 49 5
7 0 5
45 21 1
50 20 2
35 4 7
18 38 1
33 13 -2
35 17 14
56 51 -3
36 57 15
26 43 8
20 12 1
7 28 0
37 24 2
36 1 4
1 41 13
0 58 9
18 8 7
34 58 11
2 21 15
30 6 8
46 19 3
22 25 -3
35 49 5
31 39 -4
25 19 9
41 58 -2
53 23 14
8 6 5
55 44 8
14 10 -3
12 46 6
52 57 12
0 59 -4
16 56 -4
7 3 4
4 16 5
44 39 7
8 37 9
20 55 -1
48 37 8
42 7 11
33 15 13
31 17 5
49 46 10
5 22 12
53 55 2
42 41 1
44 4 -3
31 3 1
0 42 1
29 52 7
37 48 11
32 54 5
48 19 9
41 9 11
6 58 -1
28 55 14
49 25 1
27 10 4
55 36 15
6 9 9
56 6 -2
15 1 9
11 17 -5
33 28 6
59 35 -3
13 9 7
32 27 11
21 3 9
17 23 -2
3 41 7
27 12 4
12 25 0
38 17 11
33 27 -2
43 3 15
15 7 2
57 2 13
17 15 -3
34 6 3
39 44 7
6 14 3
10 50 1
22 40 4
45 38 4
46 0 -2
11 32 14
19 54 2
43 4 0
11 21 9
42 30 8
21 1 0
54 0 14
37 0 10
2 52 -5
36 43 4
10 48 -1
